 Total battles: 868
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tyranitar          | 22.63825% | 393    | 22.638% | 338    | 23.590% | 
 | 2    | Heatran            | 22.35023% | 388    | 22.350% | 302    | 21.077% | 
 | 3    | Garchomp           | 20.67972% | 359    | 20.680% | 299    | 20.868% | 
 | 4    | Politoed           | 18.72120% | 325    | 18.721% | 285    | 19.891% | 
 | 5    | Starmie            | 17.56912% | 305    | 17.569% | 249    | 17.378% | 
 | 6    | Latios             | 17.51152% | 304    | 17.512% | 232    | 16.192% | 
 | 7    | Ferrothorn         | 16.70507% | 290    | 16.705% | 253    | 17.657% | 
 | 8    | Dragonite          | 16.58986% | 288    | 16.590% | 234    | 16.331% | 
 | 9    | Scizor             | 16.24424% | 282    | 16.244% | 228    | 15.913% | 
 | 10   | Volcarona          | 14.63134% | 254    | 14.631% | 193    | 13.470% | 
 | 11   | Jirachi            | 14.17051% | 246    | 14.171% | 217    | 15.145% | 
 | 12   | Skarmory           | 13.76728% | 239    | 13.767% | 212    | 14.796% | 
 | 13   | Breloom            | 13.24885% | 230    | 13.249% | 180    | 12.563% | 
 | 14   | Landorus-Therian   | 12.15438% | 211    | 12.154% | 197    | 13.749% | 
 | 15   | Keldeo             | 11.11751% | 193    | 11.118% | 144    | 10.050% | 
 | 16   | Forretress         | 10.82949% | 188    | 10.829% | 168    | 11.725% | 
 | 17   | Terrakion          | 10.71429% | 186    | 10.714% | 158    | 11.027% | 
 | 18   | Ninetales          |  9.79263% | 170    |  9.793% | 159    | 11.097% | 
 | 19   | Latias             |  9.33180% | 162    |  9.332% | 131    |  9.143% | 
 | 20   | Gengar             |  9.15899% | 159    |  9.159% | 126    |  8.794% | 
 | 21   | Rotom-Wash         |  8.92857% | 155    |  8.929% | 135    |  9.422% | 
 | 22   | Jellicent          |  8.41014% | 146    |  8.410% | 129    |  9.003% | 
 | 23   | Gliscor            |  8.35253% | 145    |  8.353% | 123    |  8.584% | 
 | 24   | Gyarados           |  7.66129% | 133    |  7.661% | 105    |  7.328% | 
 | 25   | Tentacruel         |  7.54608% | 131    |  7.546% | 107    |  7.468% | 
 | 26   | Venusaur           |  7.48848% | 130    |  7.488% | 105    |  7.328% | 
 | 27   | Hydreigon          |  7.14286% | 124    |  7.143% | 103    |  7.189% | 
 | 28   | Magnezone          |  6.79724% | 118    |  6.797% | 88     |  6.142% | 
 | 29   | Celebi             |  6.73963% | 117    |  6.740% | 91     |  6.351% | 
 | 30   | Cloyster           |  6.33641% | 110    |  6.336% | 84     |  5.863% | 
 | 31   | Hippowdon          |  5.93318% | 103    |  5.933% | 102    |  7.119% | 
 | 32   | Salamence          |  5.52995% | 96     |  5.530% | 73     |  5.095% | 
 | 33   | Tornadus           |  5.47235% | 95     |  5.472% | 77     |  5.374% | 
 | 34   | Mamoswine          |  5.29954% | 92     |  5.300% | 84     |  5.863% | 
 | 35   | Mew                |  5.24194% | 91     |  5.242% | 77     |  5.374% | 
 | 36   | Dugtrio            |  5.18433% | 90     |  5.184% | 75     |  5.234% | 
 | 37   | Alakazam           |  5.12673% | 89     |  5.127% | 60     |  4.188% | 
 | 38   | Gorebyss           |  5.06912% | 88     |  5.069% | 75     |  5.234% | 
 | 39   | Infernape          |  4.66590% | 81     |  4.666% | 69     |  4.816% | 
 | 40   | Reuniclus          |  4.66590% | 81     |  4.666% | 63     |  4.397% | 
 | 41   | Kyurem-Black       |  4.32028% | 75     |  4.320% | 58     |  4.048% | 
 | 42   | Blissey            |  4.32028% | 75     |  4.320% | 61     |  4.257% | 
 | 43   | Vaporeon           |  4.32028% | 75     |  4.320% | 54     |  3.769% | 
 | 44   | Thundurus-Therian  |  4.26267% | 74     |  4.263% | 63     |  4.397% | 
 | 45   | Gothitelle         |  4.20507% | 73     |  4.205% | 58     |  4.048% | 
 | 46   | Amoonguss          |  4.08986% | 71     |  4.090% | 56     |  3.908% | 
 | 47   | Toxicroak          |  3.91705% | 68     |  3.917% | 48     |  3.350% | 
 | 48   | Scrafty            |  3.85945% | 67     |  3.859% | 58     |  4.048% | 
 | 49   | Chansey            |  3.68664% | 64     |  3.687% | 52     |  3.629% | 
 | 50   | Donphan            |  3.57143% | 62     |  3.571% | 56     |  3.908% | 
 | 51   | Zapdos             |  3.28341% | 57     |  3.283% | 51     |  3.559% | 
 | 52   | Metagross          |  3.22581% | 56     |  3.226% | 46     |  3.210% | 
 | 53   | Espeon             |  3.16820% | 55     |  3.168% | 40     |  2.792% | 
 | 54   | Ninjask            |  3.11060% | 54     |  3.111% | 51     |  3.559% | 
 | 55   | Heracross          |  3.11060% | 54     |  3.111% | 47     |  3.280% | 
 | 56   | Lucario            |  2.99539% | 52     |  2.995% | 43     |  3.001% | 
 | 57   | Darmanitan         |  2.88018% | 50     |  2.880% | 41     |  2.861% | 
 | 58   | Stoutland          |  2.82258% | 49     |  2.823% | 36     |  2.513% | 
 | 59   | Machamp            |  2.70737% | 47     |  2.707% | 40     |  2.792% | 
 | 60   | Jolteon            |  2.70737% | 47     |  2.707% | 39     |  2.722% | 
 | 61   | Weavile            |  2.59217% | 45     |  2.592% | 37     |  2.582% | 
 | 62   | Conkeldurr         |  2.41935% | 42     |  2.419% | 35     |  2.443% | 
 | 63   | Slowbro            |  2.24654% | 39     |  2.247% | 33     |  2.303% | 
 | 64   | Smeargle           |  2.13134% | 37     |  2.131% | 30     |  2.094% | 
 | 65   | Kyurem             |  2.01613% | 35     |  2.016% | 26     |  1.815% | 
