 Total battles: 12
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Kyogre             | 29.16667% | 7      | 29.167% | 5      | 25.000% | 
 | 2    | Palkia             | 25.00000% | 6      | 25.000% | 5      | 25.000% | 
 | 3    | Zekrom             | 25.00000% | 6      | 25.000% | 5      | 25.000% | 
 | 4    | Arceus             | 20.83333% | 5      | 20.833% | 3      | 15.000% | 
 | 5    | Rayquaza           | 20.83333% | 5      | 20.833% | 5      | 25.000% | 
 | 6    | Reshiram           | 20.83333% | 5      | 20.833% | 5      | 25.000% | 
 | 7    | Excadrill          | 20.83333% | 5      | 20.833% | 4      | 20.000% | 
 | 8    | Groudon            | 20.83333% | 5      | 20.833% | 5      | 25.000% | 
 | 9    | Darkrai            | 20.83333% | 5      | 20.833% | 5      | 25.000% | 
 | 10   | Giratina           | 16.66667% | 4      | 16.667% | 3      | 15.000% | 
 | 11   | Mewtwo             | 16.66667% | 4      | 16.667% | 4      | 20.000% | 
 | 12   | Giratina-Origin    | 16.66667% | 4      | 16.667% | 3      | 15.000% | 
 | 13   | Tyranitar          | 12.50000% | 3      | 12.500% | 3      | 15.000% | 
 | 14   | Genesect           | 12.50000% | 3      | 12.500% | 2      | 10.000% | 
 | 15   | Ferrothorn         | 12.50000% | 3      | 12.500% | 3      | 15.000% | 
 | 16   | Kyurem-White       | 12.50000% | 3      | 12.500% | 3      | 15.000% | 
 | 17   | Weavile            |  8.33333% | 2      |  8.333% | 2      | 10.000% | 
 | 18   | Arceus-Ghost       |  8.33333% | 2      |  8.333% | 2      | 10.000% | 
 | 19   | Deoxys-Speed       |  8.33333% | 2      |  8.333% | 2      | 10.000% | 
 | 20   | Gliscor            |  8.33333% | 2      |  8.333% | 1      |  5.000% | 
 | 21   | Charizard          |  8.33333% | 2      |  8.333% | 2      | 10.000% | 
 | 22   | Forretress         |  8.33333% | 2      |  8.333% | 2      | 10.000% | 
 | 23   | Blaziken           |  8.33333% | 2      |  8.333% | 2      | 10.000% | 
