 Total battles: 737681
 Avg. weight/team: 0.002
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 28.52431% | 213666 | 14.482% | 185662 | 15.866% | 
 | 2    | Greninja           | 25.03246% | 340569 | 23.084% | 255567 | 21.840% | 
 | 3    | Heatran            | 22.58069% | 206055 | 13.966% | 173494 | 14.826% | 
 | 4    | Rotom-Wash         | 20.68535% | 235692 | 15.975% | 203429 | 17.384% | 
 | 5    | Ferrothorn         | 19.38253% | 264055 | 17.898% | 231488 | 19.782% | 
 | 6    | Talonflame         | 16.62512% | 211433 | 14.331% | 165268 | 14.123% | 
 | 7    | Skarmory           | 15.61679% | 124683 |  8.451% | 107153 |  9.157% | 
 | 8    | Chansey            | 14.62995% | 102978 |  6.980% | 79678  |  6.809% | 
 | 9    | Salamence          | 14.25235% | 137097 |  9.292% | 107143 |  9.156% | 
 | 10   | Latios             | 13.54798% | 164537 | 11.152% | 120508 | 10.298% | 
 | 11   | Latias             | 13.49703% | 141044 |  9.560% | 101936 |  8.711% | 
 | 12   | Magnezone          | 13.22373% | 119383 |  8.092% | 96225  |  8.223% | 
 | 13   | Azumarill          | 12.73973% | 170355 | 11.547% | 137286 | 11.732% | 
 | 14   | Keldeo             | 12.20938% | 79593  |  5.395% | 61420  |  5.249% | 
 | 15   | Clefable           | 11.89793% | 110185 |  7.468% | 86436  |  7.387% | 
 | 16   | Scizor             | 11.69332% | 157182 | 10.654% | 126614 | 10.820% | 
 | 17   | Sableye            | 11.33137% | 76895  |  5.212% | 66074  |  5.646% | 
 | 18   | Excadrill          | 10.63290% | 130919 |  8.874% | 99181  |  8.476% | 
 | 19   | Slowbro            | 10.41163% | 108727 |  7.370% | 87649  |  7.490% | 
 | 20   | Bisharp            |  9.75783% | 118544 |  8.035% | 89357  |  7.636% | 
 | 21   | Mamoswine          |  9.71941% | 101522 |  6.881% | 84348  |  7.208% | 
 | 22   | Conkeldurr         |  8.89174% | 132204 |  8.961% | 107245 |  9.165% | 
 | 23   | Metagross          |  8.84862% | 110069 |  7.460% | 87028  |  7.437% | 
 | 24   | Tyranitar          |  8.22249% | 120849 |  8.191% | 99173  |  8.475% | 
 | 25   | Thundurus          |  8.21205% | 74010  |  5.016% | 58352  |  4.987% | 
 | 26   | Garchomp           |  8.18911% | 138350 |  9.377% | 107784 |  9.211% | 
 | 27   | Dragonite          |  7.52431% | 138087 |  9.360% | 102063 |  8.722% | 
 | 28   | Gengar             |  6.87008% | 154355 | 10.462% | 115853 |  9.900% | 
 | 29   | Gliscor            |  6.61302% | 125860 |  8.531% | 98978  |  8.458% | 
 | 30   | Breloom            |  6.27488% | 117101 |  7.937% | 91876  |  7.851% | 
 | 31   | Mew                |  6.09430% | 65181  |  4.418% | 54489  |  4.656% | 
 | 32   | Zapdos             |  5.75649% | 61034  |  4.137% | 49343  |  4.217% | 
 | 33   | Charizard          |  5.43572% | 158954 | 10.774% | 126230 | 10.787% | 
 | 34   | Gothitelle         |  5.30035% | 32701  |  2.216% | 24866  |  2.125% | 
 | 35   | Sylveon            |  5.24684% | 100486 |  6.811% | 77530  |  6.625% | 
 | 36   | Lopunny            |  5.20783% | 60054  |  4.070% | 51284  |  4.383% | 
 | 37   | Venusaur           |  4.80927% | 90622  |  6.142% | 71114  |  6.077% | 
 | 38   | Gallade            |  4.66316% | 65683  |  4.452% | 51090  |  4.366% | 
 | 39   | Quagsire           |  4.60510% | 18923  |  1.283% | 14844  |  1.269% | 
 | 40   | Gyarados           |  4.57510% | 77366  |  5.244% | 62472  |  5.339% | 
 | 41   | Landorus           |  4.17426% | 37293  |  2.528% | 28844  |  2.465% | 
 | 42   | Empoleon           |  4.13235% | 23193  |  1.572% | 19606  |  1.675% | 
 | 43   | Terrakion          |  3.98114% | 48987  |  3.320% | 37754  |  3.226% | 
 | 44   | Gardevoir          |  3.93775% | 84179  |  5.706% | 63747  |  5.448% | 
 | 45   | Cresselia          |  3.92511% | 10864  |  0.736% | 8459   |  0.723% | 
 | 46   | Tentacruel         |  3.83758% | 36387  |  2.466% | 29432  |  2.515% | 
 | 47   | Politoed           |  3.75440% | 42230  |  2.862% | 39161  |  3.347% | 
 | 48   | Amoonguss          |  3.66992% | 15975  |  1.083% | 12649  |  1.081% | 
 | 49   | Manaphy            |  3.58271% | 14068  |  0.954% | 11002  |  0.940% | 
 | 50   | Altaria            |  3.58084% | 36652  |  2.484% | 28937  |  2.473% | 
 | 51   | Sceptile           |  3.46769% | 76949  |  5.216% | 60301  |  5.153% | 
 | 52   | Weavile            |  3.44193% | 54585  |  3.700% | 42925  |  3.668% | 
 | 53   | Swampert           |  3.43843% | 70679  |  4.791% | 58810  |  5.026% | 
 | 54   | Kyurem-Black       |  3.15768% | 42630  |  2.889% | 31453  |  2.688% | 
 | 55   | Beedrill           |  3.13306% | 58978  |  3.998% | 47564  |  4.065% | 
 | 56   | Starmie            |  3.08616% | 30902  |  2.095% | 23370  |  1.997% | 
 | 57   | Chesnaught         |  3.08518% | 26430  |  1.791% | 21229  |  1.814% | 
 | 58   | Diancie            |  3.07021% | 35162  |  2.383% | 28778  |  2.459% | 
 | 59   | Celebi             |  3.04791% | 18856  |  1.278% | 15195  |  1.299% | 
 | 60   | Mandibuzz          |  2.95190% | 51779  |  3.510% | 41053  |  3.508% | 
 | 61   | Manectric          |  2.51049% | 57415  |  3.892% | 46895  |  4.008% | 
 | 62   | Jirachi            |  2.50963% | 26781  |  1.815% | 20946  |  1.790% | 
 | 63   | Pinsir             |  2.35733% | 38820  |  2.631% | 28902  |  2.470% | 
 | 64   | Medicham           |  2.27668% | 44704  |  3.030% | 36242  |  3.097% | 
 | 65   | Azelf              |  2.21423% | 17837  |  1.209% | 16160  |  1.381% | 
 | 66   | Klefki             |  2.16341% | 33748  |  2.287% | 29494  |  2.520% | 
 | 67   | Porygon2           |  1.93538% | 28290  |  1.917% | 22676  |  1.938% | 
 | 68   | Heracross          |  1.90576% | 47739  |  3.236% | 36486  |  3.118% | 
 | 69   | Umbreon            |  1.85353% | 36749  |  2.491% | 28540  |  2.439% | 
 | 70   | Kingdra            |  1.75029% | 24693  |  1.674% | 18726  |  1.600% | 
 | 71   | Tornadus-Therian   |  1.67692% | 15143  |  1.026% | 12058  |  1.030% | 
 | 72   | Raikou             |  1.61458% | 17711  |  1.200% | 14345  |  1.226% | 
 | 73   | Alakazam           |  1.60579% | 45825  |  3.106% | 34010  |  2.906% | 
 | 74   | Togekiss           |  1.52604% | 58592  |  3.971% | 45076  |  3.852% | 
 | 75   | Crawdaunt          |  1.49047% | 28814  |  1.953% | 22359  |  1.911% | 
 | 76   | Blissey            |  1.47313% | 38004  |  2.576% | 28373  |  2.425% | 
 | 77   | Diggersby          |  1.42758% | 23411  |  1.587% | 18068  |  1.544% | 
 | 78   | Hydreigon          |  1.41887% | 28053  |  1.901% | 21541  |  1.841% | 
 | 79   | Volcarona          |  1.39031% | 58976  |  3.997% | 44410  |  3.795% | 
 | 80   | Donphan            |  1.35423% | 27197  |  1.843% | 23127  |  1.976% | 
