 Total battles: 133297
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon            | 42.78341% | 114058 | 42.783% | 91595  | 47.094% | 
 | 2    | Rayquaza           | 38.87559% | 103640 | 38.876% | 75292  | 38.712% | 
 | 3    | Xerneas            | 36.19774% | 96501  | 36.198% | 65998  | 33.934% | 
 | 4    | Kyogre             | 34.80048% | 92776  | 34.800% | 67574  | 34.744% | 
 | 5    | Arceus             | 19.80877% | 52809  | 19.809% | 36658  | 18.848% | 
 | 6    | Darkrai            | 17.41224% | 46420  | 17.412% | 34171  | 17.569% | 
 | 7    | Mewtwo             | 16.45086% | 43857  | 16.451% | 30221  | 15.538% | 
 | 8    | Lugia              | 14.11210% | 37622  | 14.112% | 25892  | 13.313% | 
 | 9    | Yveltal            | 12.97066% | 34579  | 12.971% | 25065  | 12.887% | 
 | 10   | Blaziken           | 11.90875% | 31748  | 11.909% | 23611  | 12.140% | 
 | 11   | Aegislash          | 11.24969% | 29991  | 11.250% | 21654  | 11.134% | 
 | 12   | Deoxys-Attack      |  8.16147% | 21758  |  8.161% | 16802  |  8.639% | 
 | 13   | Ho-Oh              |  8.12809% | 21669  |  8.128% | 15552  |  7.996% | 
 | 14   | Dialga             |  7.92103% | 21117  |  7.921% | 15588  |  8.015% | 
 | 15   | Genesect           |  7.90790% | 21082  |  7.908% | 15917  |  8.184% | 
 | 16   | Gengar             |  7.90003% | 21061  |  7.900% | 15697  |  8.071% | 
 | 17   | Palkia             |  7.55793% | 20149  |  7.558% | 13499  |  6.941% | 
 | 18   | Kangaskhan         |  7.26348% | 19364  |  7.263% | 15180  |  7.805% | 
 | 19   | Giratina-Origin    |  7.26235% | 19361  |  7.262% | 14306  |  7.356% | 
 | 20   | Zekrom             |  7.22147% | 19252  |  7.221% | 13188  |  6.781% | 
 | 21   | Deoxys-Speed       |  6.66557% | 17770  |  6.666% | 16071  |  8.263% | 
 | 22   | Charizard          |  5.61040% | 14957  |  5.610% | 11656  |  5.993% | 
 | 23   | Giratina           |  5.43186% | 14481  |  5.432% | 10157  |  5.222% | 
 | 24   | Lucario            |  5.23793% | 13964  |  5.238% | 10339  |  5.316% | 
 | 25   | Ferrothorn         |  5.23193% | 13948  |  5.232% | 11325  |  5.823% | 
 | 26   | Salamence          |  5.09801% | 13591  |  5.098% | 10008  |  5.146% | 
 | 27   | Greninja           |  4.93409% | 13154  |  4.934% | 9838   |  5.058% | 
 | 28   | Shaymin-Sky        |  4.79606% | 12786  |  4.796% | 8582   |  4.413% | 
 | 29   | Deoxys-Defense     |  4.75330% | 12672  |  4.753% | 10553  |  5.426% | 
 | 30   | Ditto              |  4.62539% | 12331  |  4.625% | 8615   |  4.429% | 
 | 31   | Kyurem-White       |  4.52598% | 12066  |  4.526% | 7830   |  4.026% | 
 | 32   | Klefki             |  4.15651% | 11081  |  4.157% | 8996   |  4.625% | 
 | 33   | Arceus-Ghost       |  3.79566% | 10119  |  3.796% | 7160   |  3.681% | 
 | 34   | Scizor             |  3.50533% | 9345   |  3.505% | 6845   |  3.519% | 
 | 35   | Garchomp           |  3.49070% | 9306   |  3.491% | 6877   |  3.536% | 
 | 36   | Latios             |  3.48883% | 9301   |  3.489% | 6736   |  3.463% | 
 | 37   | Metagross          |  3.33203% | 8883   |  3.332% | 6719   |  3.455% | 
 | 38   | Smeargle           |  3.28139% | 8748   |  3.281% | 7492   |  3.852% | 
 | 39   | Arceus-Fairy       |  3.27164% | 8722   |  3.272% | 6277   |  3.227% | 
 | 40   | Dragonite          |  2.92092% | 7787   |  2.921% | 5721   |  2.942% | 
 | 41   | Mawile             |  2.87253% | 7658   |  2.873% | 5643   |  2.901% | 
 | 42   | Talonflame         |  2.82902% | 7542   |  2.829% | 5462   |  2.808% | 
 | 43   | Chansey            |  2.76075% | 7360   |  2.761% | 5243   |  2.696% | 
 | 44   | Reshiram           |  2.72399% | 7262   |  2.724% | 4839   |  2.488% | 
 | 45   | Arceus-Steel       |  2.72024% | 7252   |  2.720% | 5111   |  2.628% | 
 | 46   | Scolipede          |  2.65760% | 7085   |  2.658% | 6042   |  3.107% | 
 | 47   | Sceptile           |  2.64410% | 7049   |  2.644% | 5194   |  2.671% | 
 | 48   | Landorus-Therian   |  2.60884% | 6955   |  2.609% | 5584   |  2.871% | 
 | 49   | Gliscor            |  2.58821% | 6900   |  2.588% | 5213   |  2.680% | 
 | 50   | Swampert           |  2.42504% | 6465   |  2.425% | 5108   |  2.626% | 
 | 51   | Azumarill          |  2.33689% | 6230   |  2.337% | 4604   |  2.367% | 
 | 52   | Shuckle            |  2.30575% | 6147   |  2.306% | 5563   |  2.860% | 
 | 53   | Latias             |  2.28775% | 6099   |  2.288% | 4289   |  2.205% | 
 | 54   | Tyranitar          |  2.18497% | 5825   |  2.185% | 4454   |  2.290% | 
 | 55   | Sableye            |  2.18422% | 5823   |  2.184% | 4761   |  2.448% | 
 | 56   | Skarmory           |  2.17597% | 5801   |  2.176% | 4810   |  2.473% | 
 | 57   | Blissey            |  2.16284% | 5766   |  2.163% | 3966   |  2.039% | 
 | 58   | Mew                |  2.15834% | 5754   |  2.158% | 4374   |  2.249% | 
 | 59   | Gardevoir          |  2.01355% | 5368   |  2.014% | 3860   |  1.985% | 
 | 60   | Espeon             |  1.88339% | 5021   |  1.883% | 3407   |  1.752% | 
 | 61   | Breloom            |  1.86351% | 4968   |  1.864% | 3582   |  1.842% | 
 | 62   | Kyurem-Black       |  1.76748% | 4712   |  1.767% | 3289   |  1.691% | 
 | 63   | Excadrill          |  1.76035% | 4693   |  1.760% | 3348   |  1.721% | 
 | 64   | Sylveon            |  1.74235% | 4645   |  1.742% | 3276   |  1.684% | 
 | 65   | Forretress         |  1.71309% | 4567   |  1.713% | 3919   |  2.015% | 
 | 66   | Heatran            |  1.65645% | 4416   |  1.656% | 3395   |  1.746% | 
 | 67   | Venusaur           |  1.59418% | 4250   |  1.594% | 3119   |  1.604% | 
 | 68   | Diancie            |  1.57580% | 4201   |  1.576% | 3328   |  1.711% | 
 | 69   | Thundurus          |  1.54467% | 4118   |  1.545% | 3097   |  1.592% | 
 | 70   | Cloyster           |  1.52367% | 4062   |  1.524% | 3091   |  1.589% | 
 | 71   | Jirachi            |  1.51054% | 4027   |  1.511% | 3019   |  1.552% | 
 | 72   | Ninjask            |  1.50979% | 4025   |  1.510% | 3446   |  1.772% | 
 | 73   | Rotom-Wash         |  1.45840% | 3888   |  1.458% | 3007   |  1.546% | 
 | 74   | Blastoise          |  1.42501% | 3799   |  1.425% | 3001   |  1.543% | 
 | 75   | Gallade            |  1.42239% | 3792   |  1.422% | 2783   |  1.431% | 
 | 76   | Togekiss           |  1.39576% | 3721   |  1.396% | 2727   |  1.402% | 
 | 77   | Arceus-Ground      |  1.33311% | 3554   |  1.333% | 2724   |  1.401% | 
 | 78   | Gyarados           |  1.24984% | 3332   |  1.250% | 2581   |  1.327% | 
 | 79   | Umbreon            |  1.24196% | 3311   |  1.242% | 2444   |  1.257% | 
 | 80   | Arceus-Water       |  1.19545% | 3187   |  1.195% | 2383   |  1.225% | 
 | 81   | Aggron             |  1.15682% | 3084   |  1.157% | 2425   |  1.247% | 
 | 82   | Conkeldurr         |  1.15006% | 3066   |  1.150% | 2235   |  1.149% | 
 | 83   | Volcarona          |  1.14819% | 3061   |  1.148% | 2154   |  1.107% | 
 | 84   | Bisharp            |  1.13844% | 3035   |  1.138% | 2235   |  1.149% | 
 | 85   | Arceus-Electric    |  1.13393% | 3023   |  1.134% | 2083   |  1.071% | 
 | 86   | Victini            |  1.11705% | 2978   |  1.117% | 2209   |  1.136% | 
 | 87   | Infernape          |  1.10730% | 2952   |  1.107% | 2295   |  1.180% | 
 | 88   | Mamoswine          |  1.09230% | 2912   |  1.092% | 2344   |  1.205% | 
 | 89   | Clefable           |  1.07954% | 2878   |  1.080% | 2026   |  1.042% | 
 | 90   | Drifblim           |  1.07242% | 2859   |  1.072% | 2404   |  1.236% | 
 | 91   | Wobbuffet          |  1.07017% | 2853   |  1.070% | 2206   |  1.134% | 
 | 92   | Alakazam           |  1.05854% | 2822   |  1.059% | 2098   |  1.079% | 
 | 93   | Snorlax            |  0.99064% | 2641   |  0.991% | 2023   |  1.040% | 
 | 94   | Zapdos             |  0.96701% | 2578   |  0.967% | 1783   |  0.917% | 
 | 95   | Slowbro            |  0.95464% | 2545   |  0.955% | 1909   |  0.982% | 
 | 96   | Galvantula         |  0.95051% | 2534   |  0.951% | 2295   |  1.180% | 
 | 97   | Vaporeon           |  0.90137% | 2403   |  0.901% | 1734   |  0.892% | 
 | 98   | Shedinja           |  0.89537% | 2387   |  0.895% | 1757   |  0.903% | 
 | 99   | Arceus-Rock        |  0.89237% | 2379   |  0.892% | 1753   |  0.901% | 
 | 100  | Arceus-Poison      |  0.89162% | 2377   |  0.892% | 1561   |  0.803% | 
 | 101  | Heracross          |  0.85898% | 2290   |  0.859% | 1636   |  0.841% | 
 | 102  | Jolteon            |  0.84773% | 2260   |  0.848% | 1750   |  0.900% | 
 | 103  | Magnezone          |  0.84285% | 2247   |  0.843% | 1645   |  0.846% | 
 | 104  | Hydreigon          |  0.83760% | 2233   |  0.838% | 1674   |  0.861% | 
 | 105  | Arceus-Dragon      |  0.82785% | 2207   |  0.828% | 1552   |  0.798% | 
 | 106  | Absol              |  0.82447% | 2198   |  0.824% | 1638   |  0.842% | 
 | 107  | Whimsicott         |  0.81322% | 2168   |  0.813% | 1676   |  0.862% | 
 | 108  | Milotic            |  0.79672% | 2124   |  0.797% | 1593   |  0.819% | 
 | 109  | Keldeo             |  0.78546% | 2094   |  0.785% | 1496   |  0.769% | 
 | 110  | Terrakion          |  0.78134% | 2083   |  0.781% | 1449   |  0.745% | 
 | 111  | Steelix            |  0.77834% | 2075   |  0.778% | 1650   |  0.848% | 
 | 112  | Arcanine           |  0.72132% | 1923   |  0.721% | 1450   |  0.746% | 
 | 113  | Staraptor          |  0.71082% | 1895   |  0.711% | 1380   |  0.710% | 
 | 114  | Manectric          |  0.70932% | 1891   |  0.709% | 1439   |  0.740% | 
 | 115  | Weavile            |  0.69506% | 1853   |  0.695% | 1420   |  0.730% | 
 | 116  | Electivire         |  0.69019% | 1840   |  0.690% | 1391   |  0.715% | 
 | 117  | Sharpedo           |  0.68794% | 1834   |  0.688% | 1418   |  0.729% | 
 | 118  | Haxorus            |  0.66918% | 1784   |  0.669% | 1270   |  0.653% | 
 | 119  | Arceus-Dark        |  0.66806% | 1781   |  0.668% | 1212   |  0.623% | 
 | 120  | Arceus-Grass       |  0.65980% | 1759   |  0.660% | 1223   |  0.629% | 
 | 121  | Chandelure         |  0.65080% | 1735   |  0.651% | 1300   |  0.668% | 
 | 122  | Beedrill           |  0.64030% | 1707   |  0.640% | 1279   |  0.658% | 
 | 123  | Tentacruel         |  0.63767% | 1700   |  0.638% | 1305   |  0.671% | 
 | 124  | Pidgeot            |  0.63017% | 1680   |  0.630% | 1301   |  0.669% | 
 | 125  | Altaria            |  0.59941% | 1598   |  0.599% | 1204   |  0.619% | 
 | 126  | Lopunny            |  0.58779% | 1567   |  0.588% | 1266   |  0.651% | 
 | 127  | Uxie               |  0.56978% | 1519   |  0.570% | 1351   |  0.695% | 
 | 128  | Medicham           |  0.55478% | 1479   |  0.555% | 1105   |  0.568% | 
 | 129  | Goodra             |  0.54952% | 1465   |  0.550% | 1054   |  0.542% | 
 | 130  | Crobat             |  0.54615% | 1456   |  0.546% | 1145   |  0.589% | 
 | 131  | Zoroark            |  0.54502% | 1453   |  0.545% | 690    |  0.355% | 
 | 132  | Machamp            |  0.53902% | 1437   |  0.539% | 1043   |  0.536% | 
 | 133  | Deoxys             |  0.52852% | 1409   |  0.529% | 1050   |  0.540% | 
 | 134  | Landorus           |  0.52814% | 1408   |  0.528% | 1059   |  0.544% | 
 | 135  | Aerodactyl         |  0.51351% | 1369   |  0.514% | 1056   |  0.543% | 
 | 136  | Flygon             |  0.50039% | 1334   |  0.500% | 1030   |  0.530% | 
 | 137  | Florges            |  0.49851% | 1329   |  0.499% | 862    |  0.443% | 
 | 138  | Pikachu            |  0.49363% | 1316   |  0.494% | 1033   |  0.531% | 
 | 139  | Ampharos           |  0.47788% | 1274   |  0.478% | 992    |  0.510% | 
