 Total battles: 120490
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Crobat             | 12.50519% | 30135  | 12.505% | 24572  | 12.642% | 
 | 2    | Florges            | 12.00681% | 28934  | 12.007% | 23016  | 11.841% | 
 | 3    | Darmanitan         | 11.87277% | 28611  | 11.873% | 23125  | 11.897% | 
 | 4    | Hydreigon          | 11.35115% | 27354  | 11.351% | 21313  | 10.965% | 
 | 5    | Arcanine           | 11.03660% | 26596  | 11.037% | 21950  | 11.293% | 
 | 6    | Swampert           | 10.66769% | 25707  | 10.668% | 22311  | 11.478% | 
 | 7    | Jirachi            | 10.64321% | 25648  | 10.643% | 20936  | 10.771% | 
 | 8    | Forretress         | 10.58138% | 25499  | 10.581% | 22481  | 11.566% | 
 | 9    | Infernape          | 10.56104% | 25450  | 10.561% | 20734  | 10.667% | 
 | 10   | Blastoise          | 10.15437% | 24470  | 10.154% | 20420  | 10.506% | 
 | 11   | Donphan            | 10.11370% | 24372  | 10.114% | 21083  | 10.847% | 
 | 12   | Chandelure         | 10.04855% | 24215  | 10.049% | 19196  |  9.876% | 
 | 13   | Sableye            |  9.69873% | 23372  |  9.699% | 20063  | 10.322% | 
 | 14   | Alakazam           |  9.58669% | 23102  |  9.587% | 17170  |  8.834% | 
 | 15   | Galvantula         |  9.52278% | 22948  |  9.523% | 20624  | 10.611% | 
 | 16   | Metagross          |  9.08540% | 21894  |  9.085% | 17793  |  9.154% | 
 | 17   | Aggron             |  8.75591% | 21100  |  8.756% | 17625  |  9.068% | 
 | 18   | Umbreon            |  8.38700% | 20211  |  8.387% | 15939  |  8.200% | 
 | 19   | Porygon-Z          |  8.35256% | 20128  |  8.353% | 15099  |  7.768% | 
 | 20   | Chesnaught         |  8.27455% | 19940  |  8.275% | 15914  |  8.187% | 
 | 21   | Mienshao           |  8.16333% | 19672  |  8.163% | 16017  |  8.240% | 
 | 22   | Diancie            |  8.01062% | 19304  |  8.011% | 15780  |  8.118% | 
 | 23   | Roserade           |  7.81891% | 18842  |  7.819% | 14694  |  7.560% | 
 | 24   | Rotom-Heat         |  7.67782% | 18502  |  7.678% | 16208  |  8.339% | 
 | 25   | Honchkrow          |  7.62345% | 18371  |  7.623% | 13777  |  7.088% | 
 | 26   | Cloyster           |  7.50519% | 18086  |  7.505% | 14244  |  7.328% | 
 | 27   | Blissey            |  7.38734% | 17802  |  7.387% | 13810  |  7.105% | 
 | 28   | Empoleon           |  7.29895% | 17589  |  7.299% | 15135  |  7.787% | 
 | 29   | Nidoking           |  7.29895% | 17589  |  7.299% | 13606  |  7.000% | 
 | 30   | Flygon             |  7.22716% | 17416  |  7.227% | 14142  |  7.276% | 
 | 31   | Vaporeon           |  7.12798% | 17177  |  7.128% | 14209  |  7.310% | 
 | 32   | Scrafty            |  7.06407% | 17023  |  7.064% | 13471  |  6.930% | 
 | 33   | Goodra             |  7.03834% | 16961  |  7.038% | 13319  |  6.852% | 
 | 34   | Lucario            |  6.83127% | 16462  |  6.831% | 12333  |  6.345% | 
 | 35   | Tentacruel         |  6.74662% | 16258  |  6.747% | 13663  |  7.029% | 
 | 36   | Suicune            |  6.70388% | 16155  |  6.704% | 13000  |  6.688% | 
 | 37   | Aerodactyl         |  6.32584% | 15244  |  6.326% | 12099  |  6.225% | 
 | 38   | Raikou             |  6.27770% | 15128  |  6.278% | 11791  |  6.066% | 
 | 39   | Milotic            |  6.20217% | 14946  |  6.202% | 12292  |  6.324% | 
 | 40   | Espeon             |  6.17935% | 14891  |  6.179% | 11907  |  6.126% | 
 | 41   | Absol              |  6.05320% | 14587  |  6.053% | 11328  |  5.828% | 
 | 42   | Krookodile         |  6.05320% | 14587  |  6.053% | 11721  |  6.030% | 
 | 43   | Machamp            |  6.05112% | 14582  |  6.051% | 11855  |  6.099% | 
 | 44   | Azelf              |  5.81086% | 14003  |  5.811% | 12077  |  6.213% | 
 | 45   | Haxorus            |  5.72330% | 13792  |  5.723% | 10020  |  5.155% | 
 | 46   | Starmie            |  5.66935% | 13662  |  5.669% | 10683  |  5.496% | 
 | 47   | Porygon2           |  5.62827% | 13563  |  5.628% | 10813  |  5.563% | 
 | 48   | Trevenant          |  5.50834% | 13274  |  5.508% | 10590  |  5.448% | 
 | 49   | Celebi             |  5.40750% | 13031  |  5.408% | 10468  |  5.386% | 
 | 50   | Entei              |  5.33322% | 12852  |  5.333% | 10363  |  5.331% | 
 | 51   | Snorlax            |  5.06972% | 12217  |  5.070% | 9640   |  4.960% | 
 | 52   | Noivern            |  5.05021% | 12170  |  5.050% | 9555   |  4.916% | 
 | 53   | Ampharos           |  4.98755% | 12019  |  4.988% | 9457   |  4.865% | 
 | 54   | Beedrill           |  4.87426% | 11746  |  4.874% | 9789   |  5.036% | 
 | 55   | Gallade            |  4.76637% | 11486  |  4.766% | 9047   |  4.654% | 
 | 56   | Toxicroak          |  4.60412% | 11095  |  4.604% | 8547   |  4.397% | 
 | 57   | Kingdra            |  4.59748% | 11079  |  4.597% | 8622   |  4.436% | 
 | 58   | Shaymin            |  4.40286% | 10610  |  4.403% | 8218   |  4.228% | 
 | 59   | Altaria            |  4.01652% | 9679   |  4.017% | 7705   |  3.964% | 
 | 60   | Lopunny            |  3.97792% | 9586   |  3.978% | 8246   |  4.242% | 
 | 61   | Hippowdon          |  3.65756% | 8814   |  3.658% | 7609   |  3.915% | 
 | 62   | Sceptile           |  3.36418% | 8107   |  3.364% | 6374   |  3.279% | 
 | 63   | Quagsire           |  3.35381% | 8082   |  3.354% | 6745   |  3.470% | 
 | 64   | Nidoqueen          |  3.09611% | 7461   |  3.096% | 6370   |  3.277% | 
 | 65   | Zygarde            |  3.09030% | 7447   |  3.090% | 5750   |  2.958% | 
 | 66   | Sharpedo           |  3.01768% | 7272   |  3.018% | 5630   |  2.896% | 
 | 67   | Houndoom           |  3.01021% | 7254   |  3.010% | 5622   |  2.892% | 
 | 68   | Jolteon            |  2.66246% | 6416   |  2.662% | 5135   |  2.642% | 
 | 69   | Pidgeot            |  2.52220% | 6078   |  2.522% | 4935   |  2.539% | 
 | 70   | Gligar             |  2.33588% | 5629   |  2.336% | 4757   |  2.447% | 
 | 71   | Staraptor          |  2.29189% | 5523   |  2.292% | 4317   |  2.221% | 
 | 72   | Amoonguss          |  2.25330% | 5430   |  2.253% | 4411   |  2.269% | 
 | 73   | Slowking           |  2.23338% | 5382   |  2.233% | 4250   |  2.187% | 
 | 74   | Ambipom            |  2.23172% | 5378   |  2.232% | 4600   |  2.367% | 
 | 75   | Scolipede          |  2.16242% | 5211   |  2.162% | 4418   |  2.273% | 
 | 76   | Whimsicott         |  2.00556% | 4833   |  2.006% | 4037   |  2.077% | 
 | 77   | Bronzong           |  1.90555% | 4592   |  1.906% | 4066   |  2.092% | 
 | 78   | Shuckle            |  1.88273% | 4537   |  1.883% | 3994   |  2.055% | 
 | 79   | Yanmega            |  1.80637% | 4353   |  1.806% | 3388   |  1.743% | 
 | 80   | Weezing            |  1.76280% | 4248   |  1.763% | 3527   |  1.815% | 
 | 81   | Zoroark            |  1.66860% | 4021   |  1.669% | 1944   |  1.000% | 
 | 82   | Togekiss           |  1.66528% | 4013   |  1.665% | 3266   |  1.680% | 
 | 83   | Cofagrigus         |  1.50842% | 3635   |  1.508% | 3020   |  1.554% | 
 | 84   | Volcarona          |  1.50012% | 3615   |  1.500% | 2856   |  1.469% | 
 | 85   | Froslass           |  1.49473% | 3602   |  1.495% | 3232   |  1.663% | 
 | 86   | Salamence          |  1.49141% | 3594   |  1.491% | 2703   |  1.391% | 
 | 87   | Cinccino           |  1.47149% | 3546   |  1.471% | 2807   |  1.444% | 
 | 88   | Tornadus           |  1.30177% | 3137   |  1.302% | 2581   |  1.328% | 
 | 89   | Cresselia          |  1.29305% | 3116   |  1.293% | 2507   |  1.290% | 
 | 90   | Klefki             |  1.26318% | 3044   |  1.263% | 2737   |  1.408% | 
 | 91   | Rhyperior          |  1.24741% | 3006   |  1.247% | 2506   |  1.289% | 
 | 92   | Steelix            |  1.23952% | 2987   |  1.240% | 2499   |  1.286% | 
 | 93   | Jellicent          |  1.15570% | 2785   |  1.156% | 2325   |  1.196% | 
 | 94   | Ninjask            |  1.11420% | 2685   |  1.114% | 2373   |  1.221% | 
 | 95   | Rotom-Mow          |  1.11213% | 2680   |  1.112% | 2193   |  1.128% | 
 | 96   | Reuniclus          |  1.07561% | 2592   |  1.076% | 1984   |  1.021% | 
 | 97   | Camerupt           |  1.07229% | 2584   |  1.072% | 2114   |  1.088% | 
 | 98   | Dragalge           |  1.07104% | 2581   |  1.071% | 2072   |  1.066% | 
 | 99   | Dugtrio            |  1.06980% | 2578   |  1.070% | 1986   |  1.022% | 
 | 100  | Alomomola          |  1.06606% | 2569   |  1.066% | 2133   |  1.097% | 
 | 101  | Magneton           |  1.06357% | 2563   |  1.064% | 2120   |  1.091% | 
 | 102  | Exploud            |  1.03826% | 2502   |  1.038% | 1952   |  1.004% | 
 | 103  | Drapion            |  1.03743% | 2500   |  1.037% | 2039   |  1.049% | 
 | 104  | Eelektross         |  1.03370% | 2491   |  1.034% | 2038   |  1.048% | 
 | 105  | Doublade           |  1.00755% | 2428   |  1.008% | 2004   |  1.031% | 
 | 106  | Tangrowth          |  1.00008% | 2410   |  1.000% | 1960   |  1.008% | 
 | 107  | Hitmonlee          |  0.98846% | 2382   |  0.988% | 1873   |  0.964% | 
 | 108  | Banette            |  0.97767% | 2356   |  0.978% | 1920   |  0.988% | 
 | 109  | Kyurem             |  0.92663% | 2233   |  0.927% | 1711   |  0.880% | 
 | 110  | Hitmontop          |  0.90920% | 2191   |  0.909% | 1798   |  0.925% | 
 | 111  | Gastrodon          |  0.90256% | 2175   |  0.903% | 1812   |  0.932% | 
 | 112  | Swellow            |  0.88555% | 2134   |  0.886% | 1674   |  0.861% | 
 | 113  | Cobalion           |  0.87144% | 2100   |  0.871% | 1672   |  0.860% | 
 | 114  | Slurpuff           |  0.86605% | 2087   |  0.866% | 1495   |  0.769% | 
 | 115  | Clawitzer          |  0.85775% | 2067   |  0.858% | 1613   |  0.830% | 
 | 116  | Ludicolo           |  0.84986% | 2048   |  0.850% | 1662   |  0.855% | 
 | 117  | Glalie             |  0.83368% | 2009   |  0.834% | 1600   |  0.823% | 
 | 118  | Escavalier         |  0.83368% | 2009   |  0.834% | 1633   |  0.840% | 
 | 119  | Uxie               |  0.80505% | 1940   |  0.805% | 1698   |  0.874% | 
 | 120  | Electivire         |  0.78596% | 1894   |  0.786% | 1466   |  0.754% | 
 | 121  | Braviary           |  0.77268% | 1862   |  0.773% | 1482   |  0.762% | 
 | 122  | Heliolisk          |  0.76562% | 1845   |  0.766% | 1455   |  0.749% | 
 | 123  | Registeel          |  0.76521% | 1844   |  0.765% | 1578   |  0.812% | 
 | 124  | Claydol            |  0.68553% | 1652   |  0.686% | 1394   |  0.717% | 
 | 125  | Meloetta           |  0.68097% | 1641   |  0.681% | 1236   |  0.636% | 
 | 126  | Sigilyph           |  0.67640% | 1630   |  0.676% | 1296   |  0.667% | 
 | 127  | Ditto              |  0.67474% | 1626   |  0.675% | 1228   |  0.632% | 
 | 128  | Delphox            |  0.65483% | 1578   |  0.655% | 1231   |  0.633% | 
 | 129  | Dusclops           |  0.64694% | 1559   |  0.647% | 1284   |  0.661% | 
 | 130  | Golbat             |  0.63906% | 1540   |  0.639% | 1303   |  0.670% | 
 | 131  | Audino             |  0.63200% | 1523   |  0.632% | 1203   |  0.619% | 
 | 132  | Xatu               |  0.62993% | 1518   |  0.630% | 1244   |  0.640% | 
 | 133  | Typhlosion         |  0.62246% | 1500   |  0.622% | 1199   |  0.617% | 
 | 134  | Hitmonchan         |  0.60420% | 1456   |  0.604% | 1181   |  0.608% | 
 | 135  | Leafeon            |  0.60212% | 1451   |  0.602% | 1185   |  0.610% | 
 | 136  | Abomasnow          |  0.59839% | 1442   |  0.598% | 1153   |  0.593% | 
 | 137  | Shedinja           |  0.59632% | 1437   |  0.596% | 1054   |  0.542% | 
 | 138  | Mismagius          |  0.59383% | 1431   |  0.594% | 1137   |  0.585% | 
 | 139  | Pangoro            |  0.59300% | 1429   |  0.593% | 1123   |  0.578% | 
 | 140  | Feraligatr         |  0.57764% | 1392   |  0.578% | 1153   |  0.593% | 
 | 141  | Aromatisse         |  0.56893% | 1371   |  0.569% | 1062   |  0.546% | 
 | 142  | Durant             |  0.56312% | 1357   |  0.563% | 1076   |  0.554% | 
 | 143  | Lanturn            |  0.55648% | 1341   |  0.556% | 1173   |  0.603% | 
 | 144  | Zangoose           |  0.52286% | 1260   |  0.523% | 1003   |  0.516% | 
 | 145  | Flareon            |  0.51913% | 1251   |  0.519% | 1022   |  0.526% | 
 | 146  | Miltank            |  0.51913% | 1251   |  0.519% | 947    |  0.487% | 
 | 147  | Torkoal            |  0.51623% | 1244   |  0.516% | 1034   |  0.532% | 
 | 148  | Malamar            |  0.51332% | 1237   |  0.513% | 994    |  0.511% | 
 | 149  | Slaking            |  0.50627% | 1220   |  0.506% | 1018   |  0.524% | 
 | 150  | Regirock           |  0.50212% | 1210   |  0.502% | 995    |  0.512% | 
 | 151  | Tyrantrum          |  0.50004% | 1205   |  0.500% | 926    |  0.476% | 
 | 152  | Virizion           |  0.49921% | 1203   |  0.499% | 969    |  0.499% | 
 | 153  | Kabutops           |  0.49672% | 1197   |  0.497% | 912    |  0.469% | 
 | 154  | Lilligant          |  0.49257% | 1187   |  0.493% | 902    |  0.464% | 
 | 155  | Vivillon           |  0.48842% | 1177   |  0.488% | 931    |  0.479% | 
 | 156  | Cradily            |  0.48593% | 1171   |  0.486% | 938    |  0.483% | 
 | 157  | Hariyama           |  0.47888% | 1154   |  0.479% | 938    |  0.483% | 
 | 158  | Druddigon          |  0.47556% | 1146   |  0.476% | 969    |  0.499% | 
 | 159  | Granbull           |  0.44610% | 1075   |  0.446% | 873    |  0.449% | 
 | 160  | Marowak            |  0.41829% | 1008   |  0.418% | 823    |  0.423% | 
 | 161  | Lapras             |  0.41539% | 1001   |  0.415% | 809    |  0.416% | 
 | 162  | Torterra           |  0.41082% | 990    |  0.411% | 810    |  0.417% | 
 | 163  | Fletchinder        |  0.40169% | 968    |  0.402% | 741    |  0.381% | 
 | 164  | Scyther            |  0.39049% | 941    |  0.390% | 757    |  0.389% | 
 | 165  | Archeops           |  0.38883% | 937    |  0.389% | 805    |  0.414% | 
 | 166  | Gorebyss           |  0.38841% | 936    |  0.388% | 769    |  0.396% | 
 | 167  | Moltres            |  0.38675% | 932    |  0.387% | 763    |  0.393% | 
 | 168  | Spiritomb          |  0.38468% | 927    |  0.385% | 755    |  0.388% | 
 | 169  | Shiftry            |  0.37057% | 893    |  0.371% | 730    |  0.376% | 
 | 170  | Accelgor           |  0.36186% | 872    |  0.362% | 698    |  0.359% | 
 | 171  | Combusken          |  0.35854% | 864    |  0.359% | 722    |  0.371% | 
 | 172  | Muk                |  0.35480% | 855    |  0.355% | 700    |  0.360% | 
 | 173  | Dusknoir           |  0.35439% | 854    |  0.354% | 705    |  0.363% | 
 | 174  | Liepard            |  0.34484% | 831    |  0.345% | 717    |  0.369% | 
 | 175  | Pyroar             |  0.34484% | 831    |  0.345% | 654    |  0.336% | 
 | 176  | Kecleon            |  0.34360% | 828    |  0.344% | 683    |  0.351% | 
 | 177  | Magmortar          |  0.33945% | 818    |  0.339% | 641    |  0.330% | 
 | 178  | Glaceon            |  0.32949% | 794    |  0.329% | 603    |  0.310% | 
 | 179  | Electrode          |  0.32658% | 787    |  0.327% | 709    |  0.365% | 
 | 180  | Mr. Mime           |  0.32617% | 786    |  0.326% | 628    |  0.323% | 
 | 181  | Golurk             |  0.31621% | 762    |  0.316% | 649    |  0.334% | 
 | 182  | Omastar            |  0.30957% | 746    |  0.310% | 627    |  0.323% | 
 | 183  | Avalugg            |  0.30957% | 746    |  0.310% | 584    |  0.300% | 
 | 184  | Togetic            |  0.30625% | 738    |  0.306% | 613    |  0.315% | 
 | 185  | Raichu             |  0.30542% | 736    |  0.305% | 540    |  0.278% | 
 | 186  | Cacturne           |  0.30127% | 726    |  0.301% | 580    |  0.298% | 
 | 187  | Gourgeist-Super    |  0.29173% | 703    |  0.292% | 577    |  0.297% | 
 | 188  | Drifblim           |  0.28467% | 686    |  0.285% | 546    |  0.281% | 
 | 189  | Sandslash          |  0.28426% | 685    |  0.284% | 581    |  0.299% | 
 | 190  | Mightyena          |  0.28343% | 683    |  0.283% | 514    |  0.264% | 
 | 191  | Pikachu            |  0.27471% | 662    |  0.275% | 519    |  0.267% | 
 | 192  | Crustle            |  0.27222% | 656    |  0.272% | 530    |  0.273% | 
 | 193  | Armaldo            |  0.27098% | 653    |  0.271% | 538    |  0.277% | 
 | 194  | Meowstic           |  0.27015% | 651    |  0.270% | 544    |  0.280% | 
 | 195  | Luxray             |  0.27015% | 651    |  0.270% | 541    |  0.278% | 
 | 196  | Ursaring           |  0.26724% | 644    |  0.267% | 489    |  0.252% | 
 | 197  | Golem              |  0.26019% | 627    |  0.260% | 513    |  0.264% | 
 | 198  | Ninetales          |  0.25936% | 625    |  0.259% | 488    |  0.251% | 
 | 199  | Exeggutor          |  0.25313% | 610    |  0.253% | 485    |  0.250% | 
 | 200  | Emboar             |  0.25106% | 605    |  0.251% | 468    |  0.241% | 
 | 201  | Vileplume          |  0.23819% | 574    |  0.238% | 482    |  0.248% | 
 | 202  | Primeape           |  0.23529% | 567    |  0.235% | 461    |  0.237% | 
 | 203  | Politoed           |  0.23363% | 563    |  0.234% | 500    |  0.257% | 
 | 204  | Regice             |  0.23072% | 556    |  0.231% | 449    |  0.231% | 
 | 205  | Rapidash           |  0.22989% | 554    |  0.230% | 456    |  0.235% | 
 | 206  | Carracosta         |  0.22948% | 553    |  0.229% | 415    |  0.214% | 
 | 207  | Rampardos          |  0.22160% | 534    |  0.222% | 378    |  0.194% | 
 | 208  | Tauros             |  0.21786% | 525    |  0.218% | 383    |  0.197% | 
 | 209  | Stoutland          |  0.21745% | 524    |  0.217% | 415    |  0.214% | 
 | 210  | Bouffalant         |  0.21745% | 524    |  0.217% | 409    |  0.210% | 
 | 211  | Rhydon             |  0.21703% | 523    |  0.217% | 428    |  0.220% | 
 | 212  | Furfrou            |  0.21537% | 519    |  0.215% | 409    |  0.210% | 
 | 213  | Klinklang          |  0.20832% | 502    |  0.208% | 364    |  0.187% | 
 | 214  | Skuntank           |  0.20790% | 501    |  0.208% | 399    |  0.205% | 
 | 215  | Serperior          |  0.20168% | 486    |  0.202% | 398    |  0.205% | 
 | 216  | Ferroseed          |  0.20002% | 482    |  0.200% | 428    |  0.220% | 
 | 217  | Walrein            |  0.19960% | 481    |  0.200% | 397    |  0.204% | 
 | 218  | Volbeat            |  0.19753% | 476    |  0.198% | 423    |  0.218% | 
 | 219  | Bayleef            |  0.19711% | 475    |  0.197% | 393    |  0.202% | 
 | 220  | Bastiodon          |  0.19379% | 467    |  0.194% | 410    |  0.211% | 
 | 221  | Linoone            |  0.19089% | 460    |  0.191% | 329    |  0.169% | 
 | 222  | Sawk               |  0.18923% | 456    |  0.189% | 377    |  0.194% | 
 | 223  | Probopass          |  0.18923% | 456    |  0.189% | 384    |  0.198% | 
 | 224  | Floatzel           |  0.18715% | 451    |  0.187% | 348    |  0.179% | 
 | 225  | Mantine            |  0.18674% | 450    |  0.187% | 379    |  0.195% | 
 | 226  | Chatot             |  0.18508% | 446    |  0.185% | 374    |  0.192% | 
 | 227  | Seismitoad         |  0.18176% | 438    |  0.182% | 373    |  0.192% | 
 | 228  | Qwilfish           |  0.17844% | 430    |  0.178% | 351    |  0.181% | 
 | 229  | Meganium           |  0.17761% | 428    |  0.178% | 345    |  0.177% | 
 | 230  | Poliwrath          |  0.17512% | 422    |  0.175% | 373    |  0.192% | 
 | 231  | Samurott           |  0.17429% | 420    |  0.174% | 342    |  0.176% | 
 | 232  | Articuno           |  0.17014% | 410    |  0.170% | 330    |  0.170% | 
 | 233  | Kingler            |  0.16972% | 409    |  0.170% | 310    |  0.159% | 
 | 234  | Sawsbuck           |  0.16848% | 406    |  0.168% | 320    |  0.165% | 
 | 235  | Arbok              |  0.16806% | 405    |  0.168% | 336    |  0.173% | 
 | 236  | Magmar             |  0.16765% | 404    |  0.168% | 372    |  0.191% | 
 | 237  | Gigalith           |  0.16557% | 399    |  0.166% | 335    |  0.172% | 
 | 238  | Murkrow            |  0.16474% | 397    |  0.165% | 325    |  0.167% | 
 | 239  | Clefairy           |  0.15644% | 377    |  0.156% | 237    |  0.122% | 
 | 240  | Gogoat             |  0.15603% | 376    |  0.156% | 295    |  0.152% | 
 | 241  | Cryogonal          |  0.15561% | 375    |  0.156% | 285    |  0.147% | 
 | 242  | Wigglytuff         |  0.15271% | 368    |  0.153% | 283    |  0.146% | 
 | 243  | Carbink            |  0.14732% | 355    |  0.147% | 313    |  0.161% | 
 | 244  | Tropius            |  0.14524% | 350    |  0.145% | 268    |  0.138% | 
 | 245  | Swoobat            |  0.14400% | 347    |  0.144% | 265    |  0.136% | 
 | 246  | Dodrio             |  0.14151% | 341    |  0.142% | 259    |  0.133% | 
 | 247  | Mesprit            |  0.14151% | 341    |  0.142% | 272    |  0.140% | 
 | 248  | Emolga             |  0.13943% | 336    |  0.139% | 257    |  0.132% | 
 | 249  | Victreebel         |  0.13736% | 331    |  0.137% | 276    |  0.142% | 
 | 250  | Butterfree         |  0.13694% | 330    |  0.137% | 256    |  0.132% | 
 | 251  | Barbaracle         |  0.13445% | 324    |  0.134% | 254    |  0.131% | 
 | 252  | Raticate           |  0.13404% | 323    |  0.134% | 270    |  0.139% | 
 | 253  | Seaking            |  0.13404% | 323    |  0.134% | 281    |  0.145% | 
 | 254  | Dedenne            |  0.13279% | 320    |  0.133% | 271    |  0.139% | 
 | 255  | Jynx               |  0.13030% | 314    |  0.130% | 240    |  0.123% | 
 | 256  | Tangela            |  0.12740% | 307    |  0.127% | 273    |  0.140% | 
 | 257  | Ariados            |  0.12657% | 305    |  0.127% | 272    |  0.140% | 
 | 258  | Seviper            |  0.12574% | 303    |  0.126% | 230    |  0.118% | 
 | 259  | Musharna           |  0.12325% | 297    |  0.123% | 234    |  0.120% | 
 | 260  | Jumpluff           |  0.12325% | 297    |  0.123% | 246    |  0.127% | 
